background,sample,bg_dSbird,bg_dLbird,bg_dSbee,bg_dLbee
leaf,129-113,8.675897430172567,9.9987624,7.83911575431811,1.5711941
leaf,129-114,10.551952733551921,9.2456616,7.979309404514485,2.2265762
leaf,129-115,8.759175292541794,7.4039422,7.395239021287887,0.1271748
leaf,129-116,11.607118785881696,6.7207517,9.035969672668584,5.1423939
leaf,129-117,9.648804827485202,6.2395953,6.591691370821038,4.0139771
leaf,129-118,9.963889077904033,5.1550837,8.360425519786014,4.6377881
leaf,129-119,8.125708713892136,8.1587647,7.105468399761814,1.1164734
leaf,129-120,10.537989141564974,8.7435722,7.505118799718807,3.2601539
leaf,129-121,6.7467677438348055,9.7992278,6.852077903482974,4.1325222
leaf,129-122,9.721030831629891,7.8960072,7.88178719854256,1.4271953
leaf,129-123,9.12629432740276,4.2371974,7.864798268799193,2.8216865
leaf,129-124,8.769772106993647,8.6365102,7.7775610114933595,0.5248362
leaf,129-125,9.737852205562461,7.6675301,8.746788769534035,0.9308377
leaf,129-128,9.278784777501269,6.9589999,7.649434710751464,1.6275973
leaf,129-129,7.2209348978773855,9.6070219,6.689571597926516,3.2712333
leaf,129-130,10.506576719838508,7.9969773,6.570705928888668,2.9030167
leaf,129-132,9.647371570803921,8.2977764,7.560592981231362,0.4183777
leaf,129-138,11.76652004110396,8.5564417,7.805421827676063,4.8430921
leaf,129-140,10.34730621327312,3.1392959,7.91217044921044,7.3617082
leaf,129-142,9.456802886056277,8.7941019,7.999852220629943,0.466654
leaf,129-145,7.0584403891565834,7.4367537,8.297373786033667,1.8375453
leaf,131-001,10.194828863938305,9.4043336,8.341888223255445,2.106828
leaf,131-006,11.59467978328649,6.8654648,7.390830850746692,6.2414926
leaf,131-008,12.51453685029836,7.3902303,7.723575719489187,6.866882
leaf,131-013,11.42248459980837,9.4828525,7.411605041077027,3.4915514
leaf,131-024,11.92700006130279,8.6841276,8.270917829342977,4.6684931
leaf,131-031,11.581640643733842,9.1976612,7.65187743697164,3.7034352
leaf,131-033,10.666489036817817,9.6656285,7.987020007501478,2.1066545
leaf,131-041,11.42916369412905,4.7162152,7.374359150692228,7.6816268
leaf,131-043,10.689232569377237,9.0389839,7.974564651575239,2.6967803
leaf,131-044,10.597092038948688,9.4705238,7.010991085124602,2.5507282
leaf,132-001,11.642212578768214,7.3047777,7.7013783715289685,5.0436388
leaf,132-002,14.321709929504252,7.1434005,8.099815943919205,7.9955423
leaf,132-003,11.061576698282803,8.832026,7.641149379331353,3.8167026
leaf,132-004,11.809622422662779,4.3431873,8.23287264485745,6.1256006
