wl,leaf
461,3.285714285714291
462,2.968628571428604
463,3.1262750716332417
464,3.4434670487106005
465,2.738624641833752
466,3.2802578796561623
467,2.286876790830881
468,3.4748424068767907
469,3.3751862464183375
470,2.5070773638968586
471,2.475718390804583
472,3.528390804597734
473,3.012787356321834
474,2.796896551724146
475,3.270574712643699
476,2.877291066282436
477,2.8044252873563167
478,2.893735632183903
479,2.73189655172416
480,2.5143103448275936
481,3.030948275862071
482,2.9963976945244815
483,2.7113256484149675
484,2.1006340057636477
485,2.6511815561959673
486,2.6231700288184427
487,2.861671469740637
488,2.723815028901736
489,2.7526589595375683
490,2.165202312138763
491,2.374682080924863
492,2.271734104046241
493,2.816416184971091
494,2.9690173410404612
495,2.471127167630066
496,2.5514782608695596
497,2.802260869565223
498,2.9428695652173893
499,3.2433623188406027
500,2.6971884057970974
501,2.9907826086956537
502,2.689999999999997
503,3.0538953488372096
504,3.104608695652174
505,2.982093023255799
506,3.1329565217391426
507,3.184156976744197
508,3.457412790697653
509,2.959854651162804
510,3.233488372093025
511,3.471162790697644
512,3.4969767441859996
513,2.903935860058308
514,3.498746355685124
515,3.9102623906705514
516,3.9514285714285675
517,3.923032069970847
518,3.8515451895043404
519,3.7904081632653326
520,3.9721052631578915
521,4.1038775510204
522,4.364736842105211
523,4.521253644314876
524,4.740935672514651
525,4.888596491228077
526,4.675923753665699
527,4.974926686217016
528,5.115263157894716
529,5.087126099706699
530,5.452894736842143
531,5.400762463343117
532,5.491378299120238
533,5.5204117647058855
534,5.305000000000009
535,5.79594117647058
536,6.2754117647058605
537,6.031352941176486
538,6.2
539,5.2535294117647124
540,5.360000000000014
541,5.6421828908554525
542,5.333735294117653
543,5.535840707964599
544,5.662823529411801
545,5.358849557522131
546,5.465280235988217
547,5.194867256637166
548,5.635486725663709
549,5.5127433628318805
550,5.747581120943942
551,6.0721893491124215
552,5.434615384615424
553,5.77573964497042
554,5.790473372781051
555,5.756982248520714
556,5.755857988165684
557,6.183846153846185
558,5.785443786982274
559,5.534629080118717
560,5.34952522255193
561,5.794925816023757
562,5.510830860534119
563,5.587032640949557
564,4.948011869436225
565,5.159583333333258
566,5.400476190476186
567,5.547886904761857
568,5.194166666666737
569,4.987916666666669
570,5.021250000000018
571,5.026369047619049
572,4.886428571428555
573,4.517142857142877
574,4.7862089552238345
575,4.703731343283578
576,4.512916666666666
577,4.516626865671617
578,4.138323353293406
579,3.9753134328358137
580,4.5240597014925354
581,3.804221556886251
582,4.019820359281472
583,3.9691044776119613
584,3.8465568862275745
585,4.11754491017963
586,4.106467065868263
587,3.9800598802395535
588,4.207485029940118
589,4.028858858858855
590,3.642934131736499
591,3.9952252252252047
592,3.773243243243244
593,3.930361445783086
594,3.898373493975908
595,3.9233734939758924
596,4.259307228915673
597,3.742530120481899
598,3.274216867469924
599,3.689578313252998
600,3.6725903614457116
601,3.7660120845921776
602,3.7673413897280774
603,3.8881024096386265
604,3.8257099697884875
605,3.6692749244712957
606,3.5040785498489506
607,3.8168580060422985
608,3.511510574018091
609,3.49743202416918
610,3.163787878787899
611,3.1386060606060626
612,3.4466666666666805
613,3.535030303030304
614,3.1801818181818344
615,3.40951515151517
616,3.714090909090968
617,3.301671732522815
618,3.0783282674772083
619,3.2200911854103325
620,3.244893617021284
621,3.742310030395154
622,3.2736778115501783
623,3.4716158536585437
624,3.071276595744692
625,3.1700911854103526
626,3.1923170731707566
627,3.042073170731714
628,3.542682926829233
629,3.3729573170731393
630,3.179024390243898
631,3.410733944954125
632,3.296422018348597
633,3.021463414634195
634,3.458103975535179
635,3.3846788990825836
636,3.095030674846618
637,3.387300613496941
638,2.755950920245474
639,3.191987767584103
640,2.684355828220864
641,2.9860736196319255
642,3.049200000000005
643,3.12609230769232
644,3.0135276073619566
645,2.8473230769230775
646,3.2042153846153827
647,2.843661538461518
648,2.9490153846153797
649,3.049598765432094
650,2.76601851851847
651,2.9653846153846466
652,3.1182716049383123
653,2.61
654,2.9476851851851844
655,2.9578703703703724
656,2.5711111111111125
657,2.756419753086421
658,2.9232817337462285
659,2.8451393188854617
660,2.533622291021636
661,2.921455108359169
662,2.4113312693498385
663,3.0075232198142294
664,2.9951552795031833
665,2.814285714285853
666,2.3963975155279016
667,2.4536024844720137
668,2.722981366459684
669,2.280093457943923
670,2.4120249221183463
671,2.77248447204968
672,2.893707165108997
