accession	newelevation	oldelevation
129-092	10400.49	10348
129-093	10396.64	10343
129-094	10401.16	10345
129-095	10391.39	10343
129-096	10391.13	10343
129-097	10397.75	10345
129-098	10409.92	10377
129-099	10407.16	10377
129-100	10410.25	10378
129-101	10410.18	10379
129-102	10439.22	10390
129-103	10440.27	10387
129-104	10451.97	10404
129-105	10450.9	10405
129-106	10456.61	10411
129-107	10450.9	10405
129-108	10455.23	10411
129-109	10456.61	10411
129-110	10458.71	10411
129-111	10456.61	10411
129-112	10456.61	10411
129-113	10456.61	10411
129-114	10461.99	10414
129-115	10457.14	10418
129-116	10461.47	10414
129-117	10460.15	10416
129-118	10459.63	10413
129-119	10461.2	10414
129-120	10459.63	10414
129-121	10467.18	10418
129-122	10461.2	10411
129-123	10519.05	10469
129-124	10512.29	10467
129-125	10512.81	10469
129-126	10556.06	10502
129-127	10560.85	10502
129-128	10548.64	10487
129-129	10548.64	10488
129-130	10547.13	10487
129-131	10544.7	10488
129-132	10585.98	10537
129-133	10585.98	10542
129-134	10595.29	10546
129-135	10590.7	10548
129-136	10595.29	10548
129-137	10590.7	10549
129-138	10595.48	10550
129-139	10595.48	10550
129-140	10595.48	10552
129-141	10595.48	10552
129-142	10595.48	10552
129-143	10595.48	10553
129-144	10595.48	10552
129-145	10625.4	10575
129-146	10621.14	10575
129-147	10625.4	10575
129-148	10621.14	10575
129-149	10625.4	10575
129-150	10625.4	10575
130-001	9728.22	9307
130-002	9728.02	9307
130-003	9723.75	9280
130-004	9704.86	9273
131-001	10436.68	10004
131-002	10430.31	10005
131-003	10436.68	10003
131-004	10430.31	9999
131-005	10416.73	9981
131-006	10425.26	9992
131-007	10416.73	9984
131-008	10416.73	9984
131-009	10413.97	9983
131-010	10412.07	9980
131-011	10436.68	10005
131-012	10444.71	10015
131-013	10438.38	10009
131-014	10440.96	10019
131-015	10440.96	10019
131-016	10440.96	10019
131-017	10442.14	10019
131-018	10441.42	10005
131-019	10417.14	10006
131-020	10441.42	10005
131-021	10403.82	10008
131-022	10441.42	10005
131-023	10403.82	10009
131-024	10447	10006
131-025	10397.64	9957
131-026	10397.64	9962
131-027	10398.82	9957
131-028	10398.82	9957
131-029	10398.82	9957
131-030	10399.74	9957
131-031	10399.74	9957
131-032	10399.74	9957
131-033	10406.9	9957
131-034	10399.74	9957
131-035	10450.45	9996
131-036	10399.74	9957
131-037	10446.69	9996
131-038	10406.82	9957
131-039	10446.64	9996
131-040	10446.64	9992
131-041	10549.82	10656
131-042	10535.55	10637
131-043	10471.68	10594
131-044	10456.46	10581
131-045	10448.77	10553
132-001	10846.12	10363
132-002	10846.12	10363
132-003	10847.81	10362
132-004	10846.12	10363
132-005	10848.47	10363
132-006	10850.04	10364
132-007	10834.56	10365
132-008	10842.96	10361
132-009	10822.68	10346
132-010	10834.56	10365
132-011	10883.71	10383
132-012	10875.97	10384
132-013	10883.71	10385
132-014	10887.39	10385
132-015	10891.26	10404
132-016	10887.39	10398
132-017	10888.9	10403
132-018	10891.26	10404
132-019	10888.9	10393
132-020	10886.73	10404
132-021	10886.34	10388
132-022	10886.73	10388
132-023	10888.7	10388
132-024	10886.34	10389
132-025	10888.7	10388
132-026	10886.34	10388
132-027	10886.34	10388
132-028	10886.34	10388
132-029	10886.34	10388
132-030	10886.34	10388
132-031	10918.07	10398
132-032	10900.58	10399
132-033	10899.2	10389
132-034	10919.47	10404
132-035	10899.2	10388
132-036	10919.47	10410
132-037	10899.2	10388
132-038	10919.47	10407
132-039	10921.87	10404
132-040	10919.47	10407
132-041	10926.6	10400
132-042	10922.86	10404
132-043	10931.06	10436
132-044	10927.12	10418
132-045	10931.26	10437
132-046	10931.06	10437
132-047	10931.13	10432
132-048	10931.06	10436
132-049	10928.44	10424
132-050	10931.06	10436
132-051	10932.7	10447
132-052	10932.31	10449
132-053	10936.43	10435
132-054	10932.24	10446
132-055	10936.58	10429
132-056	10936.43	10435
132-057	10936.19	10433
132-058	10936.19	10431
132-059	10935.07	10440
132-060	10934.88	10433
132-061	10935.34	10439
132-062	10935.07	10439
132-063	10935.61	10430
132-064	10929.71	10424
132-065	10926.56	10418
132-066	10926.02	10424
132-067	10926.02	10423
132-068	10925.89	10424
132-069	10925.82	10418
132-070	10925.89	10432
132-071	10925.99	10413
132-072	10927.27	10428
132-073	10928.25	10427
132-074	10928.25	10426
132-075	10929.1	10419
132-076	10931.47	10423
132-077	10932.65	10438
132-078	10931.47	10425
132-079	10932.65	10430
132-080	10932.52	10436
132-081	10943.53	11003
132-082	10940.93	11004
132-083	10942.22	11007
132-084	10943.53	11006
132-085	10939.43	11006
132-086	10943.2	11003
132-087	10935.75	10999
132-088	10943.2	11003
132-089	10940.28	10991
132-090	10941	11008
132-091	10940.28	10994
132-092	10940.28	10989
132-093	10941.12	10989
132-094	10940.93	10989
132-095	10941.12	10986
132-096	10941.12	10991
132-097	10945.49	10985
132-098	10930.89	10988
132-099	10945.13	10991
132-100	10932.69	10991
132-101	10977.46	10981
132-102	10962.05	11020
132-103	10930.89	10988
132-104	10963.3	11016
132-105	10964.78	11022
132-106	11000.36	11048
132-107	10968.88	11020
132-108	11017.03	11062
132-109	11000.36	11049
132-110	10974.26	10984
132-111	10932.23	10987
132-112	10891.34	10974
132-113	10888.91	10972
132-114	10891.34	10974
132-115	10888.97	10974
132-116	10888.91	10974
132-117	10852.34	10920
132-118	10888.45	10969
132-119	10859.95	10935
132-120	10850.29	10920
132-121	10851.69	10927
132-122	10859.95	10935
132-123	10871.56	10936
132-124	10851.69	10935
132-125	10876.39	10943
132-126	10851.69	10929
132-127	10822.08	10889
132-128	10858.12	10934
132-129	10826.22	10899
132-130	10879.5	10943
132-131	10802.14	10875
132-132	10879.24	10944
132-133	10790.13	10872
132-134	10826.22	10894
132-135	10790.13	10872
132-136	10790.13	10874
132-137	10778.51	10864
132-138	10790.13	10872
132-139	10778.51	10866
132-140	10790.13	10872
132-141	10771.23	10855
132-142	10758.24	10830
132-143	10758.24	10828
132-144	10773.54	10846
132-145	10775.96	10841
132-146	10718.94	10797
132-147	10718.94	10797
133-001	11129.76	10476
133-002	11131.66	10478
133-003	11133.89	10481
133-004	11131.66	10483
133-005	11127.07	10481
133-006	11131.66	10487
133-007	11137.11	10476
133-008	11131.66	10483
133-009	11132.98	10469
133-010	11131.66	10482
133-011	11134.38	10480
133-012	11137.11	10471
133-013	11135.5	10484
133-014	11132.98	10476
133-015	11129.13	10484
133-016	11144.39	10479
133-017	11129.13	10484
133-018	11136.58	10474
133-019	11125.46	10474
133-020	11134.38	10480
133-021	11125.46	10476
133-022	11138.71	10484
133-023	11120.99	10465
133-024	11132.35	10484
133-025	11125.46	10471
133-026	11121.91	10471
133-027	11122.24	10471
133-028	11120.99	10465
133-029	11122.7	10472
133-030	11122.7	10471
133-031	11129.13	10470
133-032	11138.19	10482
133-033	11135.37	10484
133-034	11132.74	10475
133-035	11135.37	10482
133-036	11140.22	10488
133-037	11138.19	10476
133-038	11150.59	10495
133-039	11150.59	10492
133-040	11150.59	10499
135-001	11848.53	11683
135-002	11838.42	11680
135-003	11848.53	11683
135-004	11857.41	11694
135-005	11848.53	11679
135-006	11857.41	11694
135-007	11857.41	11694
135-008	11857.41	11694
135-009	11831.4	11676
135-010	11831.4	11674
135-011	11831.4	11678
135-012	11806.4	11650
135-013	11818.15	11651
135-014	11815.05	11634
135-015	11820.76	11631
135-016	11820.76	11631
135-017	11821.02	11627
135-018	11824.83	11619
135-019	11770.69	11591
135-020	11790.7	11595
135-021	11775.68	11593
135-022	11770.3	11587
135-023	11770.3	11593
135-024	11770.3	11590
135-025	11766.03	11592
135-026	11751.33	11582
135-027	11743.13	11592
135-028	11755.73	11592
135-029	11722.83	11592
135-030	11737.47	11592
135-031	11727.95	11580
135-032	11727.95	11586
135-033	11068.71	10942
135-034	11724.02	11579
135-035	11047.94	10934
135-036	11708.2	11574
135-037	11047.94	11057
135-038	10936.35	10840
135-039	10876.56	10790
135-040	10561.97	10510
