"newID","pop","blue_brightness","green_brightness","yellow_brightness","red_brightness","total_brightness","chroma","hue_radians","hue_degrees","modified_hue"
"129-149B","129",0.259534786420412,0.220158424489928,0.188800176904639,0.33150661218502,188.638184662932,0.131915897019011,5.71724482845505,327.573999113471,57.5739991134708
"129-014A","129",0.162821917289924,0.0765556241463916,0.160574331363423,0.600048127200262,113.772487787745,0.523497327974177,6.27889188921638,359.754005271023,89.7540052710227
"129-014B","129",0.166878497186008,0.0778962127895974,0.155364136127314,0.599861153897081,111.891437884242,0.522091927016621,6.26112923988338,358.736280431271,88.7362804312707
"129-150A","129",0.256465290347507,0.177365845021354,0.154423361170453,0.411745503460686,143.726731344495,0.255629379376301,5.87256386094541,336.473124153224,66.4731241532237
"129-150B","129",0.246476123721057,0.165303718605821,0.149407148493579,0.438813009179543,142.958395180589,0.290223565517781,5.9421502039827,340.46012792101,70.4601279210102
"129-015A","129",0.205799422383814,0.109542805766841,0.180338425994427,0.504319345854918,135.731562815197,0.395596737778579,6.21877980327502,356.309836448855,86.3098364488552
"129-015B","129",0.171648995633154,0.0865372107244809,0.156521523746438,0.585292269895927,115.670513490606,0.498984418048095,6.25286413971726,358.262725074499,88.2627250744993
"129-016A","129",0.166182816533492,0.0828464511862388,0.16709031410168,0.58388041817859,117.367311760205,0.501034788843977,0.00181124761115592,0.103776843772387,90.1037768437724
"129-016B","129",0.185127206818998,0.094699532823616,0.181207963726177,0.53896529663121,128.773724787813,0.444283050946089,6.27436369240473,359.49455870491,89.4945587049104
"129-017A","129",0.236040117324959,0.116789907849505,0.125682054397162,0.521487920428374,114.747368041293,0.419475128509978,6.01696573839147,344.746742284648,74.746742284648
"129-017B","129",0.228880408871739,0.121081146593505,0.139758654808009,0.510279789726747,122.919780167851,0.399272176421239,6.05807844459436,347.102326834435,77.1023268344349
"129-018","129",0.178341400165145,0.081997601127162,0.165866133827281,0.573794864880412,122.269391996456,0.49195546638429,6.25782406083845,358.546907621462,88.5469076214616
"129-019","129",0.186232684670656,0.0938869252729797,0.134192844040919,0.585687546015446,109.174956091344,0.494546252210492,6.17776268990188,353.959728964765,83.9597289647646
"129-001A","129",0.197112550657638,0.121086311255674,0.185492722120536,0.496308415966152,139.769706814669,0.375401982251817,6.25222733316612,358.226238746753,88.2262387467528
"129-001B","129",0.187359182988819,0.0930700923581543,0.167214148489073,0.552356576163953,124.70723690763,0.459728068124723,6.239351814358,357.488525860006,87.4885258600061
"129-002","129",0.178990675931433,0.0811817947805093,0.163623430629927,0.576204098658131,118.755307259487,0.495260773294701,6.25215173242001,358.221907143072,88.2219071430723
"129-020","129",0.254919610137933,0.179802221392427,0.136477931011283,0.428800237458356,132.371642205421,0.275732557669762,5.83918785630318,334.560819950215,64.5608199502149
"129-021","129",0.209430304827716,0.109268460875012,0.0955739933107336,0.585727240986538,87.4547663495033,0.489873686594428,6.04862049903788,346.560426471184,76.5604264711844
"129-022","129",0.25286743068361,0.155421770638254,0.136674794892277,0.455036003785859,133.050107384784,0.321355593255765,5.91323372281806,338.803335591907,68.8033355919067
"129-023","129",0.1912678269511,0.130019144008098,0.117563608352828,0.561149420687975,82.8789581814364,0.437384987521576,6.11386634993757,350.298738358476,80.2987383584765
"129-024","129",0.248480697967654,0.129977208955326,0.123305509640778,0.498236583436241,121.636544274304,0.388952175293755,5.95552712531463,341.226569056208,71.2265690562081
"129-025A","129",0.244516049050155,0.176498764393594,0.157635000289442,0.421350186266809,146.365103624566,0.259808651563216,5.94221257045026,340.463701256385,70.4637012563845
"129-025B","129",0.247132181713144,0.189215205443207,0.16749837193444,0.396154240909209,164.112023405395,0.221732514664562,5.91583521577562,338.952390158808,68.9523901588079
"129-026","129",0.248846746747279,0.181963153586161,0.157783203925109,0.411406895741451,152.264683183529,0.246854207267262,5.90536428223718,338.352449859493,68.3524498594933
"129-027","129",0.251761649701039,0.145980876756719,0.12530420959548,0.476953263946763,125.699668553808,0.354308065446339,5.91822329818651,339.089217202081,69.0892172020812
"129-028","129",0.241982038013371,0.161496166945505,0.138732398095825,0.4577893969453,130.229490268119,0.313767694778819,5.94787314904183,340.788028519284,70.7880285192835
"129-029","129",0.264977276310257,0.164169988969866,0.129147110342282,0.441705624377594,125.904192760933,0.308991687441683,5.8280413161204,333.922170241569,63.9221702415687
