"pop","ID","long_stamen_length","short_stamen_length","pistil_length","nectary_area_1","nectary_area_2","floral_tube_length","crease_to_top_height","crease_to_bottom_height","tube_height_at_base","tube_height_at_inflection","mouth_angle","platform_angle","upper_petal_angle","tube_width_at_mouth","tube_width_at_base","lower_petal_angle","tube_height_at_mouth","mouth_constriction_angle","stamen_length_ratio","longstamen_pistil_ratio","longstamen_tube_ratio","pistil_tube_ratio","floral_crease_ratio","mouth_height_width_ratio","throat_inflation_ratio"
129,"129-025A",30.37,26.722,36.049,1.104,0.739,27.589,7.989,1.165,3.416,4.187,54.132,17.238,150.409,7.196,3.957,155.459,9.154,-36.894,1.13651672778984,0.842464423423673,1.10080104389431,1.30664395229983,6.85751072961373,1.27209560867148,1.22570257611241
129,"129-025B",28.503,25.333,33.539,1.165,1.07,27.998,7.238,1.477,3.083,4.333,53.177,23.237,146.442,6.803,3.604,160.381,8.714,-29.94,1.12513322543718,0.849846447419422,1.01803700264305,1.19790699335667,4.90047393364929,1.2809054828752,1.40544923775543
129,"129-041",28.658,23.977,33.678,1.007,1.126,23.969,6.897,1.422,3.19,5.498,58.393,27.582,132.679,6.976,4.159,168.929,8.319,-30.811,1.19522876089586,0.850941267296158,1.19562768576077,1.40506487546414,4.85021097046414,1.19251720183486,1.72351097178683
129,"129-037",28.029,25.372,33.625,0.857,1.07,27.533,6.005,2.321,3.112,4.792,85.307,63.118,128.934,6.789,3.776,145.759,8.327,-22.188,1.10472174050134,0.833576208178439,1.01801474594123,1.22126175861693,2.5872468763464,1.22654293710414,1.53984575835476
129,"129-044",26.786,24.788,32.984,0.57,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08060351783121,0.812090710647587,NA,NA,NA,NA,NA
129,"129-028",23.239,20.003,27.464,0.533,0.548,22.176,6.526,0.554,2.524,4.794,57.297,24.75,142.661,NA,3.522,160.042,7.079,-32.547,1.16177573363995,0.846162248762016,1.0479347041847,1.23845598845599,11.7797833935018,NA,1.89936608557845
129,"129-042",27.344,24.307,31.471,1.113,1.03,29.475,NA,NA,3.398,4.669,NA,NA,NA,NA,3.923,NA,NA,NA,1.12494343193319,0.868863398048997,0.927701441899915,1.06771840542833,NA,NA,1.37404355503237
129,"129-021",22.636,20.81,30.459,0.996,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08774627582893,0.743162940346039,NA,NA,NA,NA,NA
129,"129-040",25.29,21.447,30.708,1.017,0.975,24.65,8.502,1.306,4.186,5.423,63.789,37.647,137.925,7.307,3.558,158.286,9.808,-26.142,1.17918590012589,0.823563892145369,1.02596348884381,1.24576064908722,6.50995405819296,1.34227453127138,1.2955088389871
129,"129-017A",27.032,23.871,31.164,1.717,1.623,24.989,5.765,1.975,3.226,4.322,52.885,41.281,154.673,6.613,3.364,152.442,7.74,-11.604,1.1324200913242,0.867411115389552,1.08175597262796,1.24710872784025,2.91898734177215,1.17042189626493,1.33973961562306
