"newID","pop","avg_long_stamen_length","avg_short_stamen_length","avg_pistil_length","avg_floral_tube_length","avg_crease_to_top_height","avg_crease_to_bottom_height","avg_tube_height_at_base","avg_tube_height_at_inflection","avg_mouth_angle","avg_platform_angle","avg_upper_petal_angle","avg_tube_width_at_mouth","avg_tube_width_at_base","avg_lower_petal_angle","avg_tube_height_at_mouth","avg_mouth_constriction_angle","avg_stamen_length_ratio","avg_longstamen_pistil_ratio","avg_longstamen_tube_ratio","avg_pistil_tube_ratio","avg_floral_crease_ratio","avg_mouth_height_width_ratio","avg_throat_inflation_ratio","avg_nectary_area","total_brightness","chroma","modified_hue","K1","K2","rgb","region","subpopulation","class"
"129-029",129,26.906,23.866,35.998,26.933,5.897,1.019,2.744,4.314,32.189,17.649,151.46,6.573,3.408,176.351,6.916,-14.539,1.12737785971675,0.747430412800711,0.99899751234545,1.33657594772213,5.78704612365064,1.05218317358892,1.57215743440233,0.7745,125.142253894522,0.310873008648013,63.9221702415687,1e-05,0.99999,"#A275B5FF","sierras","davidsonii_virginialakes","davidsonii"
"129-030",129,29.454,24.708,33.249,26.272,7.79,1.244,3.268,NA,NA,NA,NA,6.317,3.559,NA,9.034,NA,1.19208353569694,0.88586122890914,1.12111753958587,1.26556790499391,6.2620578778135,1.43010922906443,NA,0.7795,154.267618494867,0.224649077829518,68.8205305997745,1e-05,0.99999,"#BF91C2FF","sierras","davidsonii_virginialakes","davidsonii"
"129-031",129,26.242,19.622,31.6095,26.427,5.735,1.423,2.981,3.365,70.681,39.585,143.6875,6.416,4.482,145.6315,7.158,-31.096,1.33737641422893,0.825739458779106,0.997301713981682,1.19615634507625,4.23084309436896,1.04364089775561,1.14106476771787,0.69475,131.3162973756,0.300348757608397,70.4123459093847,1e-05,0.99999,"#AF79B3FF","sierras","davidsonii_virginialakes","davidsonii"
"129-032",129,26.618,24.65,34.406,27.279,7.043,2.184,3.454,4.83,84.105,55.33,118.348,6.989,3.757,157.547,9.227,-28.775,1.07983772819473,0.77364413183747,0.975768906484842,1.26126324278749,3.22481684981685,1.32021748461869,1.39837869137232,1.1775,145.232072178316,0.249931102173219,58.0472644056603,1e-05,0.99999,"#AD88C3FF","sierras","davidsonii_virginialakes","davidsonii"
"129-033",129,29.179,24.152,36.778,26.805,6.4,1.29,3.137,5.589,83.07,35.884,126.662,6.78,3.34,150.268,7.69,-47.186,1.20814011262007,0.793381913100223,1.08856556612572,1.37205745196792,4.96124031007752,1.13421828908555,1.78163850812879,0.9365,138.318777348522,0.284813381900931,69.0915877131021,NA,NA,"#B27FB9FF","sierras",NA,NA
"129-034",129,28.238,25.926,37.533,30.424,5.976,1.556,3.107,4.65,65.696,27.96,138.211,7.886,4.448,156.093,7.531,-37.736,1.08917688806603,0.752351264220819,0.928148829871154,1.23366421246384,3.84061696658098,0.954983515090033,1.49662053427744,1.2055,159.020540399433,0.202209325867563,61.7526592543859,1e-05,0.99999,"#BB97C6FF","sierras","davidsonii_virginialakes","davidsonii"
"129-035",129,29.249,NA,35.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833091230168903,NA,NA,NA,NA,NA,0.979,104.871861783454,0.394655696785142,70.758227116189,NA,NA,"#975EA1FF","sierras",NA,NA
"129-036",129,29.465,24.252,32.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21495134421903,0.901015228426396,NA,NA,NA,NA,NA,0.671,146.41533752637,0.243403187846829,65.283214208087,1e-05,0.99999,"#B38AC1FF","sierras","davidsonii_virginialakes","davidsonii"
"129-037",129,28.029,25.372,33.625,27.533,6.005,2.321,3.112,4.792,85.307,63.118,128.934,6.789,3.776,145.759,8.327,-22.188,1.10472174050134,0.833576208178439,1.01801474594123,1.22126175861693,2.5872468763464,1.22654293710414,1.53984575835476,0.9635,133.088555203278,0.28886143751555,69.0801176123757,NA,NA,"#AA7EB5FF","sierras",NA,NA
"129-038",129,32.6515,28.426,34.775,32.13,5.266,3.043,3.378,4.003,38.192,38.192,151.763,6.855,4.0605,170.045,8.309,0,1.15146891111974,0.939550751098072,1.01635283153562,1.08345186834072,1.73052908314164,1.19795271049596,1.18892857484677,0.9705,171.472396898078,0.211607176553477,62.717748552955,1e-05,0.99999,"#C898CCFF","sierras","davidsonii_virginialakes","davidsonii"
