"newID","pop","blue_brightness","green_brightness","yellow_brightness","red_brightness","total_brightness","chroma","hue_radians","hue_degrees","modified_hue","rgb"
"131-025","131",0.189669981880984,0.0948319203468208,0.164715748388364,0.550782349383831,123.026408968654,0.456632792852461,6.22850970932655,356.867319000667,86.8673190006666,"#CE519AFF"
"131-026","131",0.188122557309614,0.109381820270141,0.172928928345359,0.529566694074885,131.391517562133,0.420459480253938,6.24704166374215,357.929121774809,87.9291217748089,"#D45F9FFF"
"131-027","131",0.207887850463058,0.110139164130918,0.179839678645358,0.502133306760665,139.48769094055,0.392996320336903,6.21175451625454,355.907317152714,85.9073171527135,"#DA62A9FF"
"131-028","131",0.202180474872337,0.110048416544107,0.176925089719032,0.510846018864524,131.939556194406,0.401592520479448,6.22025569396036,356.394398756147,86.3943987561474,"#D460A3FF"
"131-029","131",0.184544707896507,0.0931416335016014,0.169974233355294,0.552339425246598,125.054916188931,0.459428896209019,6.25146566947277,358.182598631716,88.1825986317157,"#D25198FF"
"131-030","131",0.19825639031736,0.102605432167456,0.164119648477593,0.535018529037591,128.214777284746,0.433758462151755,6.20440395296545,355.486160899205,85.4861608992048,"#CF57A0FF"
"131-031","131",0.196277807545794,0.0954313606951585,0.17270069022836,0.535590141530687,128.351645007795,0.440789783011833,6.22967142120959,356.933880188575,86.933880188575,"#D4549FFF"
"131-032","131",0.215321272527998,0.147347958626916,0.188579982177717,0.448750786667369,157.541113833575,0.302586783188527,6.19469425568118,354.929836224466,84.9298362244663,"#DF7EBAFF"
"131-033","131",0.203480361678102,0.111640628405906,0.176246668123297,0.508632341792696,136.27562358285,0.397924734795936,6.2146924584876,356.075648843121,86.0756488431211,"#D761A7FF"
"131-034","131",0.175651398619915,0.0786685084978675,0.1631082918812,0.582571801001017,116.095356364995,0.504059379162985,6.25829855352694,358.574094049922,88.5740940499217,"#CD4390FF"
"131-035","131",0.196750684188205,0.107673421472333,0.175066893333998,0.520509001005464,135.155294418446,0.413404647427028,6.23070949201025,356.993357264288,86.9933572642883,"#D75EA4FF"
"131-036","131",0.161631867173494,0.0792478264457902,0.15503459852549,0.604085707855227,113.571997701823,0.524879343960076,6.27061586156267,359.279823815332,89.2798238153318,"#C9438BFF"
"131-037","131",0.165770179381056,0.086851841323754,0.15830427057443,0.58907370872076,115.463916952145,0.502277357528731,6.26832064397286,359.148317534371,89.1483175343713,"#C94B8CFF"
"131-038","131",0.167370068980044,0.0875198048142729,0.155996475415098,0.589113650790586,116.584385399799,0.501722776991328,6.26051428557986,358.701046145086,88.7010461450856,"#C94B90FF"
"131-039","131",0.185223972021559,0.102602422016008,0.173169076487777,0.539004529474656,128.326436903083,0.436568574110276,6.25556896306361,358.417700036573,88.4177000365735,"#D3599CFF"
"131-040","131",0.20024390515118,0.123802817707477,0.189107797274036,0.486845479867308,145.58735350904,0.363213418594011,6.25252054436102,358.243038510727,88.2430385107266,"#DF6DADFF"
"131-041","131",0.179575849082568,0.0967503954796145,0.130882370972292,0.592791384465526,105.099845270077,0.498425237688259,6.18533458440211,354.393566562546,84.3935665625459,"#B34B8CFF"
"131-042","131",0.184362426117416,0.128128925968561,0.190651194324986,0.496857453589037,137.645759265072,0.368782152071833,0.0170536263906639,0.977100817577961,90.977100817578,"#D8729FFF"
"131-043","131",0.20912109921446,0.109781038198348,0.181435508077214,0.499662354509978,141.306172692229,0.390863061398116,6.21229399811113,355.93822718622,85.9382271862199,"#DC62AAFF"
"131-044","131",0.191380390565583,0.109599200308134,0.175689217951623,0.523331191174661,133.774323245388,0.414029435142456,6.24527754037709,357.828044951451,87.8280449514508,"#D660A1FF"
"131-045","131",0.185374749743012,0.108020480008424,0.179647656979856,0.526957113268708,128.967146092115,0.418975777675727,6.26951561209575,359.216784164465,89.2167841644653,"#D45E9BFF"
"132-001","132",0.197725684590645,0.10833644342334,0.162865733002525,0.531072138983488,130.337163815421,0.424170584229327,6.20090870820221,355.285898125906,85.2858981259059,"#D058A3FF"
"132-002","132",0.17169738598488,0.0767052873861263,0.140062314030127,0.611535012598867,110.50653382367,0.535764512401408,6.22410434392026,356.614910155673,86.6149101556731,"#C3388DFF"
"132-003","132",0.18661596014705,0.100172099760211,0.175063256119961,0.538148683972778,127.605067960171,0.43812892313661,6.25681397542138,358.489033990116,88.4890339901155,"#D4599AFF"
"132-004","132",0.211813152203422,0.108997030298725,0.104422124875061,0.574767692622792,102.751995834323,0.47799073488138,6.05657911942942,347.016421830366,77.0164218303664,"#A04C99FF"
"132-005","132",0.159575849044459,0.0792342929097682,0.154341036996054,0.606848821049718,109.312211656126,0.527640496513985,6.27326397255198,359.431549398701,89.431549398701,"#C54486FF"
"132-006","132",0.192347841145894,0.105707894849073,0.173316678992283,0.52862758501275,130.825819880461,0.423347669724374,6.23821617368116,357.42345844218,87.4234584421801,"#D559A0FF"
"132-007","132",0.220588863080219,0.102098053562185,0.126084066745923,0.551229016611673,116.130462888011,0.458965988391239,6.07579374562231,348.117338816141,78.1173388161407,"#B64DA1FF"
"132-008","132",0.24920590277442,0.142853528800377,0.143279338849297,0.464661229575906,136.546004563985,0.338792906099605,5.96519448702059,341.780468080986,71.780468080986,"#BC6EB7FF"
"132-009","132",0.180596594767309,0.0944631552085933,0.167490292507449,0.557449957516649,120.655080901749,0.46317227277803,6.25488470993173,358.378495219998,88.3784952199984,"#CE5195FF"
"132-010","132",0.225732781020348,0.143678778633514,0.146002046197572,0.484586394148566,135.860471011036,0.350107115596838,6.05343704954754,346.836394487199,76.8363944871992,"#C06EB0FF"
