newID	pop	avg_long_stamen_length	avg_short_stamen_length	avg_pistil_length	avg_floral_tube_length	avg_crease_to_top_height	avg_crease_to_bottom_height	avg_tube_height_at_base	avg_tube_height_at_inflection	avg_mouth_angle	avg_platform_angle	avg_upper_petal_angle	avg_tube_width_at_mouth	avg_tube_width_at_base	avg_lower_petal_angle	avg_tube_height_at_mouth	avg_mouth_constriction_angle	avg_stamen_length_ratio	avg_longstamen_pistil_ratio	avg_longstamen_tube_ratio	avg_pistil_tube_ratio	avg_floral_crease_ratio	avg_mouth_height_width_ratio	avg_throat_inflation_ratio	avg_nectary_area	total_brightness	chroma	modified_hue
129-019	129	23.042	19.913	26.03	17.676	3.094	1.429	2.771	2.85	58.266	47.083	141.445	5.997	3.748	160.289	4.523	-11.183	1.1571335308592376	0.8852093737994622	1.3035754695632498	1.4726182394206837	2.1651504548635407	0.7542104385526096	1.0285095633345362	1.5525	105.192325878061	0.513270002536183	83.9597289647647
129-020	129	18.677	14.976	28.923	18.933	5.115	1.115	3.346	4.928	NA	NA	NA	5.599	3.208	NA	6.23	NA	1.2471287393162391	0.645749057843239	0.9864786351872392	1.5276501346854698	4.587443946188341	1.1126986961957492	1.4728033472803346	0.5185	130.594133348368	0.279485536849374	64.5608199502149
129-021	129	22.636	20.81	30.459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0877462758289285	0.7431629403460389	NA	NA	NA	NA	NA	0.874	89.0101143201517	0.481313715066044	76.5604264711843
129-022	129	25.88	21.793	30.027	24.778	7.709	0.879	3.257	5.68	56.129	30.883	134.029	7.28	3.487	169.842	8.588	-25.246	1.1875372826136832	0.861890964798348	1.0444749374445073	1.2118411494067318	8.770193401592719	1.1796703296703295	1.7439361375498923	0.8314999999999999	133.230820328343	0.320919709763918	68.8033355919067
129-023	129	17.741	14.894	24.206	NA	4.116	1.88	3.155	4.398	NA	NA	NA	5.114	2.984	NA	5.996	NA	1.1911507989794548	0.7329174584813682	NA	NA	2.1893617021276595	1.172467735627689	1.3939778129952456	1.1795	84.9808432841724	0.426566867179351	80.2987383584765
129-024	129	24.433	20.366	31.554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.199695571049789	0.7743233821385561	NA	NA	NA	NA	NA	0.9235	121.348198144635	0.389876398776981	71.2265690562082
129-025	129	29.436500000000002	26.0275	34.794	27.7935	7.6135	1.3210000000000002	3.2495000000000003	4.26	53.6545	20.237499999999997	148.4255	6.999499999999999	3.7805	157.92000000000002	8.934000000000001	-33.417	1.1308249766135066	0.8461554354215477	1.059419023268676	1.252275472828249	5.878992331631512	1.2765005457733434	1.3155759069339226	1.0195	152.869289253709	0.245476842754477	69.7987503280511
129-026	129	26.159	23.372	29.572	25.551	6.672	1.036	2.91	4.793	65.304	26.474	141.281	6.19	3.376	153.415	7.708	-38.831	1.119245250727366	0.8845867712701204	1.0237955461625767	1.1573715314469102	6.44015444015444	1.2452342487883683	1.6470790378006872	0.804	152.552612471638	0.246388292229731	68.3524498594933
129-027	129	21.726	21.872	31.682	NA	7.851	1.809	NA	5.021	70.484	41.44	125.644	6.283	2.909	163.872	9.66	-29.044	0.9933247988295537	0.6857521621109779	NA	NA	4.339966832504146	1.5374820945408243	NA	0.656	122.982762418234	0.362135355531276	69.0892172020812
129-028	129	23.239	20.003	27.464	22.176	6.526	0.554	2.524	4.794	57.297	24.75	142.661	NA	3.522	160.042	7.079	-32.547	1.1617757336399541	0.8461622487620158	1.0479347041847042	1.2384559884559885	11.779783393501804	NA	1.8993660855784467	0.5405	126.009238208472	0.324276279537901	70.7880285192835
