pop	ID	floral_tube_length	crease_to_top_height	crease_to_bottom_height	tube_height_at_base	tube_height_at_inflection	mouth_angle	platform_angle	upper_petal_angle	tube_width_at_mouth	tube_width_at_base	lower_petal_angle	tube_height_at_mouth	mouth_constriction_angle
132	132-089A	23.433	4.086	1.702	2.818	4.656	91.287	43.247	138.52	6.523	2.795	130.194	5.787	-48.039
132	132-089B	24.299	4.099	1.829	2.363	4.702	76.264	42.118	137.232	6.057	2.656	146.505	5.928	-34.146
132	132-104A	24.039	7.313	1.545	2.712	5.541	34.027	24.334	147.214	8.344	5.17	178.759	8.858	-9.693
132	132-103A	30.472	4.561	2.453	3.468	4.813	49.259	39.038	141.571	7.301	2.744	169.17	7.014	-10.221
132	132-103B	29.347	4.429	2.974	2.84	3.9	55.68	45	138.761	6.603	3.248	165.559	7.403	-10.68
132	132-132A	26.369	3.457	1.813	1.997	4.174	57.605	29.212	146.114	6.698	3.409	156.281	5.269	-28.393
132	132-144A	19.258	3.447	1.508	1.938	3.419	87.582	41.658	142.199	5.234	2.886	130.22	4.956	-45.924
132	132-144B	18.966	3.302	1.399	1.883	3.059	49.973	38.841	155.508	5.006	2.723	154.519	4.7	-11.131
132	132-123A	22.611	3.389	1.943	1.642	3.368	38.011	38.011	149.504	6.089	2.826	172.486	5.332	0
132	132-108A	24.983	4.793	2.06	2.219	4.375	71.41	44.654	135.464	6.047	2.717	153.127	6.853	-26.755
132	132-108B	22.768	3.607	2.471	2.55	3.791	69.416	46.863	141.761	5.38	3.002	148.824	6.078	-22.552
132	132-095A	22.492	4.476	2.139	2.511	3.738	44.596	44.596	158.821	6.73	3.061	156.583	6.615	0
132	132-095B	23.523	4.524	2.86	2.263	3.855	41.87	41.87	144.241	7.46	3.374	173.889	7.384	0
132	132-101A	29.758	6.539	2.59	3.056	4.258	79.993	51.312	119.691	7.967	4.208	160.317	9.129	-28.681
132	132-101B	28.914	5.561	4.044	3.972	4.923	73.265	52.856	131.037	8.27	3.931	155.699	9.605	-20.409
132	132-083A	19.928	3.112	1.614	1.937	3.453	53.819	33.205	152.684	5.537	2.684	153.497	4.726	-20.614
132	132-083B	20.707	2.307	2.166	2.098	3.126	48.084	48.084	156.044	6.302	2.733	155.872	4.473	0
132	132-092A	22.259	3.11	2.119	1.914	3.321	66.854	40.543	148.005	5.823	2.415	145.141	5.229	-26.311
132	132-092B	21.604	3.344	1.944	1.63	2.992	36.55	36.55	146.448	5.365	2.736	177.002	5.288	0
132	132-130A	22.283	4.658	1.976	2.575	4.069	87.295	28.596	153.148	6.538	3.395	119.557	6.634	-58.699
132	132-130B	22.146	4.681	1.834	2.642	4.149	81.649	32.424	150.251	6.485	3.506	128.101	6.515	-49.225
132	132-117A	19.299	3.729	2.497	2.559	4.09	45.289	45.289	145.568	5.541	2.841	169.143	6.226	0
132	132-117B	20.475	4.493	2.232	2.488	3.96	57.064	39.441	150.251	5.977	3.397	152.686	6.726	-17.623
132	132-140A	19.268	4.04	1.871	2.184	3.019	89.919	89.919	127.875	5.448	2.67	142.206	5.911	0
132	132-140B	19.047	2.631	1.844	1.923	2.94	89.52	89.52	130.198	5.534	2.363	140.282	4.475	0
132	132-133A	22.058	3.694	2.783	2.583	3.915	61.927	38.511	147.548	6.303	2.88	150.525	6.477	-23.416
132	132-133B	21.439	3.374	2.396	2.574	4.264	58.446	58.446	146.868	6.072	2.932	154.686	5.769	0
132	132-122A	27.008	3.962	1.862	2.742	3.387	58.392	58.392	149.443	7.323	3.488	152.166	5.824	0
132	132-129A	19.037	2.363	2.18	2.013	3.802	26.162	26.162	168.048	6.116	3.364	165.79	4.543	0
132	132-129B	18.844	3.382	1.658	2.209	3.857	39.529	27.733	154.189	5.377	2.999	166.283	5.041	-11.795
132	132-118A	25.357	6.554	2.558	3.218	4.804	33.093	33.093	145.268	7.995	3.243	181.639	9.112	0
132	132-118B	26.266	7.596	2.796	4.011	6.173	78.169	55.186	129.534	7.786	3.25	152.297	10.392	-22.984
132	132-098A	26.477	5.774	3.348	2.934	4.456	54.347	54.347	155.299	7.915	4.117	150.354	9.121	0
132	132-098B	24.771	5.437	2.707	2.578	4.825	49.982	42.745	137.828	7.963	3.422	172.19	8.145	-7.237
132	132-111A	24.839	5.076	2.52	3.143	4.843	62.146	42.158	146.908	7.959	3.957	150.946	7.596	-19.988
132	132-142A	20.305	3.855	1.382	1.777	2.571	76.338	56.964	151.215	4.824	2.514	132.447	5.237	-19.374
132	132-142B	19.985	3.343	1.35	1.893	2.77	77.576	51.883	154.994	4.662	2.53	127.431	4.692	-25.693
132	132-146A	23.988	4.26	2.225	2.652	4.35	33.97	33.97	145.585	6.566	2.776	180.445	6.485	0
132	132-147A	24.383	4.557	2.513	2.261	4.18	30.51	18.262	158.743	6.077	2.822	170.747	7.071	-12.248
132	132-147B	23.689	4.4	2.434	2.166	4.482	43.645	31.144	153.899	6.806	3.194	162.457	6.834	-12.5
132	132-145A	19.469	2.904	1.396	2.118	3.024	24.665	24.665	165.447	4.438	2.852	169.889	4.3	0
132	132-145B	19.133	3.037	1.616	1.662	2.224	52.487	42.512	159.003	4.409	2.208	148.51	4.653	-9.975
132	132-033A	25.501	6.847	2.137	3.427	5.7	84.085	51.712	134.567	7.906	3.86	141.348	8.983	-32.373
132	132-019A	21.632	6.05	1.204	2.888	4.234	53.824	29.891	143.732	6.359	2.986	162.444	7.254	-23.933
132	132-018A	23.845	5.714	2.323	3.475	5.829	61.64	35.035	155.007	8.356	3.448	143.353	8.038	-26.606
132	132-012A	25.526	6.112	1.327	2.481	5.218	96.673	46.731	131.904	6.874	3.709	131.422	7.439	-49.942
132	132-014A	22.621	3.987	2.517	3.847	5.11	29.762	29.762	154.414	9.105	4.226	175.824	6.503	0
132	132-014B	24.51	6.273	1.532	3.277	5.81	59.765	28.686	152.998	8.016	4.751	147.236	7.805	-31.079
132	132-010A	22.176	4.254	2.164	1.975	3.485	46.771	46.771	152.812	6.472	3.147	160.418	6.418	0
132	132-010B	23.123	4.999	1.675	2.273	3.646	46.882	46.882	144.465	7.061	3.122	168.654	6.674	0
132	132-006A	23.29	3.961	1.678	1.836	3.095	44.482	44.482	154.672	6.709	3.026	160.847	5.639	0
132	132-006B	23.233	4.073	2.519	2.342	3.742	66.694	66.694	149.094	6.729	3.104	144.213	6.592	0
132	132-001A	21.607	3.281	1.042	2.054	3.455	45.644	34.388	151.467	4.579	3.376	162.889	4.323	-11.256
132	132-001B	21.075	3.341	0.999	2.06	2.782	41.191	21.159	157.309	4.345	2.603	161.5	4.34	-20.032
132	132-007A	24.645	5.349	2.204	2.271	3.99	78.243	61.7	142.561	6.899	3.083	139.196	7.553	-16.543
132	132-007B	23.216	5.377	1.692	1.578	3.42	66.591	55.87	141.77	6.093	3.039	151.64	7.069	-10.72
132	132-004A	22.76	3.116	2.234	1.827	2.821	73.728	60.739	142.1	6.642	3.008	144.171	5.349	-12.99
132	132-004B	22.627	3.844	1.533	1.937	2.499	78.402	65.376	137.816	6.625	2.954	143.783	5.377	-13.025
132	132-002A	20.252	2.861	1.964	1.925	3.122	39.016	39.016	160.462	5.658	2.639	160.522	4.824	0
132	132-002B	21.532	3.37	1.877	2.051	2.918	55.754	48.886	152.294	5.568	2.763	151.951	5.246	-6.869
132	132-017A	24.808	5.235	1.613	2.119	3.022	86.578	32.702	135.869	6.014	2.875	137.553	6.848	-53.876
132	132-017B	25.123	5.13	1.998	2.405	NA	58.293	36.807	139.923	7.013	3.008	161.784	7.128	-21.486
132	132-008A	22.347	3.979	1.307	2.075	3.245	61.491	30.661	155.287	5.481	2.812	143.223	5.287	-30.83
132	132-008B	23.992	4.617	1.333	2.24	3.737	41.716	29.601	157.791	5.975	3.074	160.493	5.95	-12.115
132	132-043A	20.41	5.251	1.456	3.021	4.6	63.232	32.416	135.923	6.95	2.64	160.845	6.706	-30.816
132	132-043B	20.767	4.037	2.109	3.17	4.841	58.417	24.794	153.351	6.774	3.179	148.233	6.145	-33.623
132	132-067A	18.57	3.681	1.661	2.488	3.535	34.463	34.463	160.853	5.479	3.002	164.684	5.343	0
132	132-067B	20.355	3.687	1.664	2.269	3.665	43.965	32.268	157.882	5.912	3.052	158.154	5.351	-11.697
132	132-072A	20.644	4.749	0.919	2.307	3.22	59.917	25.313	155.957	6.106	2.884	144.126	5.668	-34.605
132	132-072B	20.572	5.443	0.726	2.615	3.569	48.196	30.985	143.376	6.551	2.991	168.428	6.168	-17.211
132	132-070A	16.732	4.449	1.597	1.644	3.533	95.398	53.46	142.003	5.046	2.759	122.599	6.046	-41.938
132	132-070B	18.765	4.277	1.046	1.783	2.874	67.428	37.197	147.66	5.551	2.394	144.912	5.323	-30.231
132	132-062A	20.205	3.89	1.602	1.792	3.399	61.493	18.543	155.307	5.107	2.622	143.201	5.493	-42.949
132	132-062B	21.801	5.474	0.74	1.674	3.132	82.151	30.661	138.368	4.719	2.765	139.482	6.213	-51.489
132	132-069A	21.285	3.642	1.804	1.783	2.983	55.953	28.019	159.527	5.55	2.836	144.52	5.446	-27.934
132	132-069B	21.281	3.162	1.904	1.849	3.164	60.125	42.692	147.646	6.301	3.056	152.229	5.065	-17.433
132	132-058A	20.064	5.08	1.724	2.531	3.572	35.114	35.114	153.944	6.934	3.559	170.942	6.804	0
132	132-058B	19.459	4.194	1.596	2.627	3.447	34.425	34.425	160.345	6.353	2.776	165.23	5.79	0
132	132-020A	24.452	7.31	1.19	2.969	4.733	51.292	20.511	153.07	7.049	3.886	155.638	8.5	-30.781
132	132-020B	24.645	7.228	0.944	2.532	3.517	NA	NA	NA	6.987	4.225	NA	8.172	NA
132	132-042A	21.695	4.865	1.96	2.268	3.856	71.918	43.382	142.734	5.871	2.887	145.349	6.824	-28.536
132	132-042B	22.408	5.532	1.856	2.575	4.309	82.982	41.456	140.799	5.27	3.314	136.219	7.388	-41.525
132	132-060A	21.7	3.212	1.688	1.762	2.661	95.48	57.391	136.855	5.627	2.64	127.666	4.9	-38.089
132	132-060B	21.397	2.435	2.06	1.729	2.582	114.997	90.262	119.8	5.892	2.465	125.202	4.494	-24.735
132	132-051A	23.558	5.09	1.506	2.451	4.491	46.863	30.947	141.401	6.01	3.515	171.736	6.595	-15.916
132	132-051B	21.214	4.126	2.266	2.638	3.614	31.413	31.413	150.883	6.129	3.423	177.705	6.392	0
132	132-077A	23.297	4.75	1.425	2.684	3.98	69.8	33.608	146.003	6.889	3.168	144.197	6.175	-36.192
132	132-077B	23.191	4.618	1.561	2.414	3.515	77.686	42.814	136.66	7.57	3.396	145.654	6.179	-34.872
132	132-059A	21.272	3.878	1.472	1.926	3.317	53.13	53.13	148.475	4.449	2.529	158.395	5.35	0
132	132-059B	21.109	2.858	1.812	1.731	3.233	49.261	49.261	154.723	4.993	2.657	156.017	4.67	0
132	132-066A	21.212	4.159	2.02	2.192	4.168	65.557	57.16	140.177	5.255	2.992	154.266	6.179	-8.397
132	132-066B	19.987	3.986	1.46	1.92	3.266	67.662	39.187	147.324	6.224	2.982	145.014	5.446	-28.475
132	132-054A	21.056	4.974	0.666	1.748	3.334	68.091	29.388	136.24	5.612	2.764	155.669	5.64	-38.703
132	132-054B	20.848	4.505	1.378	1.684	3.426	91.087	53.408	127.367	5.763	2.745	141.546	5.883	-37.679
