pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
129	129-084A	25.798	22.288	25.471	1.558	1.354
129	129-084B	25.825	21.889	25.342	1.060	1.146
129	129-108A	26.451	21.352	31.598	0.609	NA
129	129-095A	29.456	25.224	29.631	1.735	1.440
129	129-095B	28.815	25.266	29.851	1.725	1.747
129	129-139A	30.807	27.101	36.719	1.256	1.276
129	129-141A	32.960	26.470	38.529	0.903	0.821
129	129-141B	32.452	26.692	39.972	1.278	1.157
129	129-109A	27.785	25.153	36.103	1.750	1.727
129	129-109B	29.034	23.461	34.598	1.249	1.469
129	129-116A	24.880	22.125	28.907	1.964	2.305
129	129-116B	26.140	22.468	28.493	1.874	1.546
129	129-096A	27.355	22.727	28.582	1.006	1.266
129	129-096B	27.358	23.756	28.919	1.486	1.504
129	129-135A	31.098	25.561	36.890	0.925	1.016
129	129-135B	33.219	27.157	38.295	1.305	1.075
129	129-117A	32.346	28.659	NA	1.324	1.233
129	129-117B	26.015	25.755	30.319	1.314	1.111
129	129-111A	27.052	22.131	33.135	1.061	1.065
129	129-111B	26.662	21.878	33.156	NA	NA
129	129-115A	24.259	20.087	27.705	0.457	NA
129	129-115B	24.969	21.752	28.638	0.330	0.404
129	129-131A	24.629	20.694	31.980	1.040	0.884
129	129-130A	28.133	24.012	30.724	1.388	1.210
129	129-136A	28.847	25.356	36.302	1.000	1.050
129	129-136B	29.648	24.079	38.770	1.133	0.964
129	129-143A	27.294	23.228	29.253	0.819	0.844
129	129-143B	27.143	23.170	30.316	0.697	0.604
129	129-150A	27.202	24.539	29.993	1.892	1.493
129	129-150B	30.093	26.430	30.073	1.329	1.060
129	129-146A	27.907	22.796	30.770	1.610	1.223
129	129-146B	27.310	22.340	31.393	1.184	1.318
129	129-110A	32.081	26.138	33.975	1.055	1.073
129	129-110B	32.379	25.938	35.175	1.280	0.895
129	129-142A	26.245	24.918	29.001	0.875	NA
129	129-142B	29.886	29.533	32.062	0.908	NA
129	129-132A	26.016	23.190	28.099	0.742	0.786
129	129-132B	27.563	23.823	29.555	1.008	0.864
129	129-129A	30.795	23.701	36.581	0.996	0.986
129	129-129B	31.834	25.014	36.808	1.199	1.213
129	129-100A	27.981	24.706	30.718	0.550	0.846
129	129-100B	27.284	22.893	30.416	0.834	0.702
129	129-125A	25.448	22.060	30.572	1.017	0.862
129	129-120A	26.740	23.399	28.289	0.972	1.056
129	129-120B	27.269	24.137	27.145	1.303	1.072
129	129-138A	23.584	22.574	27.469	1.341	1.345
129	129-138B	29.267	25.972	30.244	1.903	1.851
129	129-133A	28.402	22.957	30.957	1.272	1.140
129	129-133B	29.396	23.932	32.289	1.416	1.189
129	129-145A	27.813	25.257	NA	1.275	0.795
129	129-145B	27.399	22.782	32.360	1.347	1.058
129	129-124A	24.282	24.125	29.273	0.925	0.753
129	129-124B	27.501	22.686	28.294	0.532	0.582
129	129-122A	30.958	24.777	33.714	1.327	1.336
129	129-122B	27.696	23.179	30.158	1.261	1.169
