pop	ID	long_stamen_length	short_stamen_length	pistil_length	nectary_area_1	nectary_area_2
129	129-098A	28.271	23.401	29.728	1.501	1.527
129	129-098B	27.377	23.057	27.310	1.075	1.092
129	129-144A	29.093	25.266	35.384	0.777	0.838
129	129-147A	25.987	21.591	31.250	0.974	1.140
129	129-147B	26.351	20.686	31.821	0.892	1.016
129	129-149A	28.173	21.708	32.806	0.840	1.181
129	129-149B	29.984	23.156	33.337	0.957	1.167
129	129-082A	26.187	22.588	28.859	1.088	NA
129	129-082B	27.314	23.319	28.775	1.254	1.155
129	129-092A	25.319	21.590	23.978	1.410	1.284
129	129-092B	25.536	21.838	22.158	1.101	1.030
129	129-097A	24.836	22.304	25.538	0.995	0.917
129	129-097B	25.595	23.276	26.946	1.038	1.006
129	129-134A	31.005	28.066	37.480	1.175	1.157
129	129-134B	31.872	27.714	38.333	1.488	1.261
129	129-087A	26.510	22.981	26.234	1.310	1.092
129	129-087B	26.072	22.115	26.911	1.606	1.323
129	129-119A	29.341	24.618	30.204	1.474	1.022
129	129-119B	28.091	24.150	28.344	1.342	0.907
129	129-090A	30.560	27.986	34.021	1.048	0.984
129	129-107A	25.368	20.792	26.822	0.705	0.882
129	129-107B	24.801	20.435	25.311	0.991	0.767
129	129-104A	28.665	24.340	27.779	1.341	1.466
129	129-104B	27.972	23.952	27.587	1.547	1.431
129	129-118A	24.948	23.248	26.974	1.066	1.053
129	129-118B	29.412	26.320	31.319	1.554	1.414
129	129-127A	26.680	21.925	28.803	1.162	0.932
129	129-127B	28.392	22.645	31.035	0.891	0.982
129	129-105A	27.589	23.040	29.017	1.208	1.142
129	129-105B	27.711	22.404	28.782	1.416	1.267
129	129-140A	30.995	27.385	31.481	1.388	1.564
129	129-140B	30.007	26.653	31.457	1.406	1.477
129	129-102A	25.605	22.427	30.220	1.031	NA
129	129-102B	24.339	21.486	27.616	1.094	1.145
129	129-114A	27.843	22.613	28.302	1.312	NA
129	129-114B	25.405	21.976	28.117	1.572	1.491
131	131-006A	20.935	19.008	20.478	0.643	0.720
131	131-006B	22.199	19.416	20.254	0.738	0.715
131	131-023A	23.805	20.008	25.290	0.956	0.865
131	131-023B	20.139	19.404	24.439	0.778	0.706
131	131-031A	26.776	24.133	28.268	0.901	1.034
131	131-031B	26.469	24.291	27.906	1.075	0.814
131	131-021A	23.545	19.606	27.587	1.496	1.652
131	131-021B	24.353	19.817	25.733	1.760	1.834
131	131-009A	19.442	16.903	23.154	0.927	1.041
131	131-009B	23.529	20.077	24.809	0.802	0.729
131	131-004A	21.947	19.670	24.191	0.978	0.884
131	131-004B	22.265	19.521	23.261	1.171	1.190
131	131-008A	23.484	20.652	21.531	0.857	0.889
131	131-008B	23.652	20.232	21.707	0.881	0.853
131	131-019A	25.727	22.043	26.154	1.325	1.254
131	131-019B	25.396	22.062	26.126	1.107	0.853
131	131-001A	26.834	22.727	27.764	1.855	1.706
131	131-001B	26.550	23.091	27.101	1.829	1.560
131	131-015A	25.530	23.519	25.657	0.877	0.996
131	131-015B	24.352	22.722	24.919	0.683	NA
131	131-011A	27.042	24.782	26.586	1.320	1.453
131	131-011B	25.774	24.792	27.119	1.543	1.359
131	131-026A	22.014	20.321	23.752	0.679	0.616
131	131-026B	23.482	20.614	24.457	0.629	0.576
131	131-013A	24.677	20.933	27.485	1.218	1.329
131	131-013B	25.208	22.062	27.691	1.087	1.000
131	131-032A	26.180	22.619	29.443	1.740	1.751
131	131-032B	25.239	21.762	NA	1.860	NA
131	131-033A	25.244	22.352	27.381	1.563	1.316
131	131-033B	27.151	24.641	28.759	1.429	1.203
131	131-036A	21.900	19.490	22.368	1.046	1.026
131	131-036B	25.405	23.195	25.901	1.067	NA
